{0.01, 3.625342172368708*^-6}
{0.010232929922807542, 3.7964983089845405*^-6}
{0.010471285480508996, 3.975749625135946*^-6}
{0.010715193052376065, 4.163480416058192*^-6}
{0.01096478196143185, 4.360093355905683*^-6}
{0.011220184543019636, 4.566010390369646*^-6}
{0.01148153621496883, 4.781673673138618*^-6}
{0.011748975549395297, 5.007546549198209*^-6}
{0.012022644346174132, 5.244114587300446*^-6}
{0.012302687708123818, 5.491886665598146*^-6}
{0.012589254117941675, 5.7513961099988304*^-6}
{0.012882495516931342, 6.023201892008899*^-6}
{0.013182567385564075, 6.307889885511234*^-6}
{0.013489628825916533, 6.606074190023791*^-6}
{0.013803842646028852, 6.918398518549711*^-6}
{0.01412537544622754, 7.245537659120398*^-6}
{0.014454397707459272, 7.588199009140859*^-6}
{0.014791083881682071, 7.947124190972117*^-6}
{0.01513561248436208, 8.323090750190892*^-6}
{0.01548816618912481, 8.716913941075031*^-6}
{0.015848931924611134, 9.129448607637522*^-6}
{0.0162181009735893, 9.561591160315999*^-6}
{0.016595869074375606, 0.000010014281659415285}
{0.016982436524617443, 0.000010488506006519199}
{0.017378008287493755, 0.000010985298252525747}
{0.01778279410038923, 0.000011505743029515917}
{0.018197008586099836, 0.000012050978112333484}
{0.018620871366628676, 0.000012622197117417807}
{0.019054607179632473, 0.000013220652348207143}
{0.019498445997580455, 0.000013847657794652823}
{0.0199526231496888, 0.000014504592297159224}
{0.020417379446695295, 0.00001519290288382007}
{0.020892961308540396, 0.000015914108290930755}
{0.021379620895022326, 0.00001666980268141777}
{0.02187761623949553, 0.000017461659567942595}
{0.0223872113856834, 0.000018291435958093673}
{0.022908676527677724, 0.00001916097673330523}
{0.023442288153199226, 0.000020072219277025523}
{0.023988329190194897, 0.000021027198366100547}
{0.02454708915685031, 0.000022028051345331917}
{0.025118864315095794, 0.00002307702360139014}
{0.025703957827688646, 0.000024176474354371087}
{0.026302679918953815, 0.000025328882791052775}
{0.026915348039269153, 0.0000265368545602425}
{0.02754228703338166, 0.000027803128652709337}
{0.028183829312644536, 0.00002913058469629684}
{0.028840315031266057, 0.00003052225068736895}
{0.029512092266663854, 0.00003198131119550092}
{0.03019951720402016, 0.000033511116067107746}
{0.030902954325135904, 0.000035115189668127685}
{0.03162277660168379, 0.000036797240697655004}
{0.03235936569296283, 0.000038561172617062976}
{0.03311311214825911, 0.00004041109473559554}
{0.033884415613920256, 0.00004235133399872321}
{0.034673685045253165, 0.000044386447530098115}
{0.03548133892335755, 0.000046521235981702736}
{0.03630780547701014, 0.00004876075774865873}
{0.03715352290971726, 0.00005111034411446873}
{0.038018939632056124, 0.00005357561539177836}
{0.03890451449942805, 0.00005616249813393558}
{0.039810717055349734, 0.00005887724349537442}
{0.04073802778041126, 0.00006172644682914558}
{0.04168693834703355, 0.00006471706860910635}
{0.04265795188015926, 0.00006785645678300681}
{0.04365158322401661, 0.00007115237065856059}
{0.0446683592150963, 0.000074613006445189}
{0.04570881896148752, 0.00007824702457241027}
{0.046773514128719815, 0.00008206357892576657}
{0.04786300923226385, 0.00008607234814644289}
{0.04897788193684462, 0.0000902835691543092}
{0.05011872336272725, 0.00009470807306823899}
{0.05128613839913648, 0.00009935732371055855}
{0.05248074602497726, 0.00010424345889890873}
{0.05370317963702527, 0.00010937933474266157}
{0.054954087385762455, 0.0001147785731845339}
{0.05623413251903491, 0.0001204556130405308}
{0.057543993733715694, 0.0001264257648170297}
{0.0588843655355589, 0.00013270526960735806}
{0.06025595860743578, 0.00013931136238740444}
{0.06165950018614822, 0.00014626234006771097}
{0.06309573444801933, 0.00015357763467683177}
{0.06456542290346556, 0.00016127789208834534}
{0.06606934480075961, 0.00016938505673513575}
{0.06760829753919818, 0.00017792246279005355}
{0.06918309709189363, 0.0001869149323297182}
